id,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,zipcode,lat,long,sqft_living15,sqft_lot15,central_area,waterfront_central,Isolation_meter,nice_isolated_central
7899800857,256950,2,2.0,1070.0,635.0,2.0,0,0,3,9,98106,47.5212,-122.357,1070.0,928.0,Central,No,1.1530172413793103,Yes
7899800860,259950,2,2.0,1070.0,649.0,2.0,0,0,3,9,98106,47.5213,-122.357,1070.0,928.0,Central,No,1.1530172413793103,Yes
7899800864,259950,2,2.0,1070.0,649.0,2.0,0,0,3,9,98106,47.5213,-122.357,1070.0,928.0,Central,No,1.1530172413793103,Yes
7899800863,299900,3,2.5,1210.0,2046.0,2.0,0,0,3,9,98106,47.5212,-122.357,1070.0,651.0,Central,No,1.6436251920122888,Yes
7436300160,409900,2,2.5,1590.0,1845.0,2.0,0,0,3,9,98033,47.6897,-122.175,2320.0,3174.0,Central,No,0.7309388783868935,Yes
7436300170,411000,2,2.5,1590.0,2088.0,2.0,0,0,3,9,98033,47.6897,-122.175,2320.0,3174.0,Central,No,0.7309388783868935,Yes
7579200767,435000,2,2.0,1440.0,1170.0,2.0,0,0,3,9,98116,47.5592,-122.385,1440.0,1350.0,Central,No,1.0666666666666667,Yes
7579200765,439000,2,2.5,1350.0,944.0,2.0,0,0,3,9,98116,47.5591,-122.385,1440.0,1350.0,Central,No,1.0666666666666667,Yes
9126100765,455000,3,1.75,1320.0,1014.0,3.0,0,0,3,9,98122,47.6047,-122.305,1380.0,1495.0,Central,No,0.9230769230769231,Yes
2719100042,458500,3,2.0,1890.0,1599.0,2.0,0,0,3,9,98136,47.5438,-122.385,1780.0,1562.0,Central,No,1.1395646606914211,Yes
7600065,465000,3,2.25,1530.0,1245.0,2.0,0,0,3,9,98122,47.6018,-122.297,1530.0,2307.0,Central,No,0.6631989596879063,Yes
3277801580,469950,3,2.0,1820.0,1357.0,3.0,0,0,3,9,98126,47.5432,-122.376,1710.0,1372.0,Central,No,1.2463556851311954,Yes
8857320130,472000,2,2.25,1800.0,2748.0,2.0,0,0,4,9,98008,47.6104,-122.113,1800.0,2755.0,Central,No,0.6533575317604355,Yes
3277801592,479950,3,2.0,1820.0,1358.0,3.0,0,0,3,9,98126,47.5433,-122.376,1710.0,1367.0,Central,No,1.2509144111192392,Yes
293670040,482500,2,2.5,1170.0,809.0,2.0,0,0,3,9,98103,47.6875,-122.339,1170.0,1121.0,Central,No,1.0437109723461195,Yes
9828702310,487028,2,1.5,1295.0,1093.0,2.0,0,0,3,9,98112,47.6192,-122.299,1295.0,1413.0,Central,No,0.916489738145789,Yes
8857320070,490000,3,2.75,1980.0,3128.0,2.0,0,0,4,9,98008,47.6109,-122.114,1950.0,2856.0,Central,No,0.6827731092436975,Yes
6169901185,490000,5,3.5,4460.0,2975.0,3.0,0,2,3,10,98119,47.6313,-122.37,2490.0,4231.0,Central,No,0.5885133538170645,Yes
6056110150,500000,2,2.5,1950.0,2162.0,2.0,0,0,3,9,98118,47.5622,-122.292,1800.0,2457.0,Central,No,0.7326007326007326,Yes
7228501910,507200,3,3.5,1630.0,1329.0,2.0,0,0,3,9,98122,47.6159,-122.306,1580.0,1319.0,Central,No,1.197877179681577,Yes
3574750150,511000,3,2.5,1820.0,4883.0,2.0,0,0,3,9,98028,47.7355,-122.224,2720.0,5002.0,Central,No,0.5437824870051979,Yes
7702080150,515000,5,2.75,2980.0,4502.0,2.0,0,0,3,9,98028,47.7698,-122.235,2850.0,4501.0,Central,No,0.6331926238613641,Yes
8857320030,515000,3,2.0,1810.0,2738.0,2.0,0,0,4,9,98008,47.6112,-122.115,1760.0,2754.0,Central,No,0.6390704429920117,Yes
1525039057,520000,3,1.75,1490.0,1036.0,2.0,0,0,3,10,98199,47.6588,-122.403,1460.0,1206.0,Central,No,1.2106135986733002,Yes
8850000509,525000,2,1.5,1620.0,1444.0,2.0,0,0,3,9,98144,47.5892,-122.309,1660.0,1642.0,Central,No,1.0109622411693058,Yes
1604601803,525000,3,2.75,2130.0,1400.0,2.0,0,0,3,9,98118,47.5661,-122.29,1880.0,3132.0,Central,No,0.6002554278416348,Yes
9385200042,529500,3,2.25,1410.0,905.0,3.0,0,0,3,9,98116,47.5818,-122.402,1510.0,1352.0,Central,No,1.1168639053254439,Yes
9385200041,529500,3,2.25,1410.0,905.0,3.0,0,0,3,9,98116,47.5818,-122.402,1510.0,1352.0,Central,No,1.1168639053254439,Yes
6003001999,530000,2,1.75,1170.0,976.0,2.0,0,0,3,9,98102,47.6192,-122.316,1280.0,1183.0,Central,No,1.0819949281487744,Yes
7436300180,530000,3,3.5,2320.0,3174.0,2.0,0,0,3,9,98033,47.6897,-122.175,2320.0,3187.0,Central,No,0.7279573266394729,Yes
1604601804,532000,3,3.75,2260.0,2050.0,2.0,0,0,3,9,98118,47.566,-122.29,2130.0,3082.0,Central,No,0.691109669046074,Yes
6821102317,535000,3,2.5,1850.0,1499.0,2.5,0,0,3,9,98199,47.6475,-122.396,1770.0,1539.0,Central,No,1.1500974658869396,Yes
7702080110,535000,5,2.75,2620.0,6389.0,2.0,0,0,3,9,98028,47.77,-122.236,2620.0,4504.0,Central,No,0.5817051509769094,Yes
955000430,540000,2,1.25,1230.0,1569.0,2.0,0,0,3,9,98112,47.6193,-122.304,1100.0,1230.0,Central,No,0.8943089430894309,Yes
8857320120,542000,2,2.25,1800.0,2819.0,2.0,0,2,4,9,98008,47.6104,-122.113,1800.0,2755.0,Central,No,0.6533575317604355,Yes
2770601457,542300,3,2.25,1580.0,1487.0,3.0,0,0,3,9,98199,47.6514,-122.386,1600.0,1525.0,Central,No,1.0491803278688525,Yes
6821102367,547000,3,2.5,1570.0,1452.0,2.5,0,0,3,9,98199,47.648,-122.396,1670.0,1596.0,Central,No,1.0463659147869675,Yes
9826700697,549900,3,2.0,1280.0,960.0,2.0,0,0,3,9,98122,47.602,-122.311,1280.0,1173.0,Central,No,1.091219096334186,Yes
1972205633,550000,3,2.0,1420.0,1369.0,2.5,0,0,3,9,98109,47.6472,-122.357,1540.0,2168.0,Central,No,0.7103321033210332,Yes
2436700666,550700,2,2.25,1190.0,1499.0,2.0,0,0,3,9,98105,47.6666,-122.285,1430.0,1332.0,Central,No,1.0735735735735736,Yes
6056110200,555000,3,3.5,2100.0,2479.0,2.0,0,0,3,9,98118,47.562,-122.292,1800.0,2457.0,Central,No,0.7326007326007326,Yes
7548300731,559950,3,2.5,1660.0,1458.0,3.0,0,0,3,9,98144,47.5876,-122.309,1660.0,1784.0,Central,No,0.9304932735426009,Yes
